,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,citympg,highwaympg,price,car_brand
189,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,2254,ohc,four,109,mpfi,90,24,29,11595.0,volkswagen
190,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,2221,ohc,four,109,mpfi,90,24,29,9980.0,volkswagen
191,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,2661,ohc,five,136,mpfi,110,19,24,13295.0,volkswagen
192,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,2579,ohc,four,97,idi,68,33,38,13845.0,volkswagen
193,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,2563,ohc,four,109,mpfi,88,25,31,12290.0,volkswagen
194,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,2912,ohc,four,141,mpfi,114,23,28,12940.0,volvo
195,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,3034,ohc,four,141,mpfi,114,23,28,13415.0,volvo
196,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,2935,ohc,four,141,mpfi,114,24,28,15985.0,volvo
197,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,3042,ohc,four,141,mpfi,114,24,28,16515.0,volvo
198,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,3045,ohc,four,130,mpfi,162,17,22,18420.0,volvo
199,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,3157,ohc,four,130,mpfi,162,17,22,18950.0,volvo
200,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,2952,ohc,four,141,mpfi,114,23,28,16845.0,volvo
201,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,3049,ohc,four,141,mpfi,160,19,25,19045.0,volvo
202,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,3012,ohcv,six,173,mpfi,134,18,23,21485.0,volvo
203,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,3217,ohc,six,145,idi,106,26,27,22470.0,volvo
204,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,3062,ohc,four,141,mpfi,114,19,25,22625.0,volvo
